text,,agreeableness,conscientiousness,extraversion,neuroticism,openness,predicted,actual,correct
I do inappropriate things,I do inappropriate things.,0.000162678,0.99870676,0.00037987,0.000320612,0.000430363,conscientiousness,conscientiousness,1
I am known to be a perfectionist,I am known to be a perfectionist.,0.000125064,0.9990411,0.000270657,0.000196043,0.000367198,conscientiousness,conscientiousness,1
I like tidy work,I like tidy work.,0.000144369,0.99900484,0.000258812,0.000216849,0.000375101,conscientiousness,conscientiousness,1
I pay a lot of attention to details,I pay a lot of attention to details.,0.000161069,0.99884915,0.000317645,0.000259593,0.00041274,conscientiousness,conscientiousness,1
I show off,I show off.,0.001052652,0.000303288,0.99744785,0.000782237,0.000414061,extraversion,extraversion,1
I find it hard to describe my feelings,I find it hard to describe my feelings.,0.000803499,0.000363192,0.9945683,0.000762018,0.003502746,extraversion,extraversion,1
I am strong willed,I am strong willed.,0.000762801,0.000175597,0.99766284,0.000762513,0.000636101,extraversion,extraversion,1
I am poor at telling jokes,I am poor at telling jokes.,0.001028565,0.000255894,0.9969624,0.000636009,0.001117062,extraversion,extraversion,1
I express my gratitude,I express my gratitude.,0.99855673,0.000347596,0.000468292,0.000348369,0.000278773,agreeableness,extraversion,0
I do not like being the center of attention,I do not like being the center of attention.,0.000312139,0.000148447,0.9989048,0.000203914,0.000430916,extraversion,extraversion,1
I enjoy being with people,I enjoy being with people.,0.000229634,0.000219792,0.99895096,0.000227591,0.000371766,extraversion,extraversion,1
I prefer to watch from the sidelines,I prefer to watch from the sidelines.,0.000518667,0.001529323,0.020822383,0.000418538,0.97671115,openness,extraversion,0
I rarely laugh,I rarely laugh.,0.006210145,0.00034845,0.9904774,0.002451036,0.000513226,extraversion,extraversion,1
I am someone who jokes around a lot,I am someone who jokes around a lot.,0.000306434,0.000138385,0.9990258,0.000208015,0.000321439,extraversion,extraversion,1
I often express doubt,I often express doubt.,0.000642334,0.000434453,0.000568138,0.99771565,0.00063939,neuroticism,extraversion,0
I was at a birthday party or a graduation ceremony recently,I was at a birthday party or a graduation ceremony recently.,0.07547457,0.008779848,0.8324363,0.06773161,0.015577671,extraversion,extraversion,1
I like to chat,I like to chat.,0.000335768,0.000188468,0.99881715,0.0002873,0.000371237,extraversion,extraversion,1
I dislike even my enemies,I dislike even my enemies.,0.99840295,0.00044243,0.000377368,0.000427814,0.000349335,agreeableness,agreeableness,1
I am ready to take credit for work I have not done,I am ready to take credit for work I have not done.,0.07115384,0.89628357,0.013710194,0.010755746,0.008096659,conscientiousness,agreeableness,0
I am someone who has an forgiving nature,I am someone who has an forgiving nature.,0.9987633,0.000316461,0.000376915,0.00028145,0.000261689,agreeableness,agreeableness,1
I am accepting of imperfections,I am accepting of imperfections.,0.20656338,0.004086583,0.09674009,0.68640566,0.006204204,neuroticism,agreeableness,0
I seem to be dressed in pink,I seem to be dressed in pink.,0.00138645,0.002612741,0.25249892,0.00147297,0.7420288,openness,agreeableness,0
I dissuade others,I dissuade others.,0.9976767,0.000387634,0.001260781,0.000383689,0.000291054,agreeableness,agreeableness,1
I call people just to talk,I call people just to talk.,0.9967718,0.000382294,0.002033041,0.00047521,0.000337696,agreeableness,agreeableness,1
I want justice for all,I want justice for all.,0.96357805,0.002523531,0.029588077,0.001757868,0.002552524,agreeableness,agreeableness,1
I get a feeling of being alone,I get a feeling of being alone.,0.000557667,0.00165958,0.1104828,0.001079122,0.8862209,openness,openness,1
I am someone who has been described as a normal kind of person,I am someone who has been described as a normal kind of person.,0.000136723,0.000367579,0.000291244,0.000113499,0.9990911,openness,openness,1
I believe that friendships are based on appearances are deceiving,I believe that friendships are based on appearances are deceiving.,0.9983605,0.00044405,0.000486967,0.000416095,0.000292129,agreeableness,openness,0
I enjoy a good deal of philosophical discourse,I enjoy a good deal of philosophical discourse.,0.000206683,0.000493403,0.00028024,0.000155895,0.99886394,openness,openness,1
I think poetry is boring,I think poetry is boring.,0.000154978,0.000391859,0.000234164,0.000131287,0.99908775,openness,openness,1
I think about something for hours,I think about something for hours.,0.000173189,0.000403423,0.00024776,0.000133249,0.99904245,openness,openness,1
I rarely daydream,I rarely daydream.,0.000137463,0.00035394,0.000202422,0.00013616,0.9991701,openness,openness,1
I am considerate of others feelings,I am considerate of others feelings.,0.9987558,0.000337707,0.000282734,0.000315648,0.000308326,agreeableness,openness,0
I am someone who prefers variety to routine,I am someone who prefers variety to routine.,0.000153308,0.000384814,0.000277596,0.000112156,0.999072,openness,openness,1
I give art a creative outlet,I give art a creative outlet.,0.000161421,0.00039097,0.000269805,0.00012248,0.9990554,openness,openness,1
I rarely enjoy being told how I feel about something,I rarely enjoy being told how I feel about something.,0.34808442,0.001881708,0.6366883,0.005627135,0.00771833,extraversion,openness,0
I enjoy fiction,I enjoy fiction.,0.000144547,0.000346231,0.000201345,0.000131418,0.9991763,openness,openness,1
I am sure of myself,I am sure of myself.,0.000769214,0.000492076,0.000456914,0.9974317,0.000850335,neuroticism,neuroticism,1
I am constantly in the same mood,I am constantly in the same mood.,0.000763709,0.000464671,0.000423523,0.99734986,0.000998247,neuroticism,neuroticism,1
I love temperamental varieties,I love temperamental varieties.,0.000373778,0.000882279,0.002550676,0.000385679,0.9958074,openness,neuroticism,0
I am most afraid of being embarrassed,I am most afraid of being embarrassed.,0.000495267,0.000376747,0.000662467,0.9976605,0.000805041,neuroticism,neuroticism,1
I feel shave-tail,I feel shave-tail.,0.005658751,0.000921592,0.9876402,0.004508916,0.001270655,extraversion,neuroticism,0
I remain cool headed,I remain cool headed.,0.00151658,0.004490937,0.004701482,0.986838,0.002452865,neuroticism,neuroticism,1
I am all smiles,I am all smiles.,0.00078471,0.000174264,0.99796116,0.000671919,0.000407869,extraversion,neuroticism,0
I ignore others feelings,I ignore others feelings.,0.99880385,0.000325324,0.000276791,0.000280836,0.000313029,agreeableness,agreeableness,1
I do not think about others,I do not think about others.,0.9987972,0.000301925,0.000299835,0.000262463,0.000338849,agreeableness,agreeableness,1
I act is if I am a special person,I act is if I am a special person.,0.000496225,0.000184437,0.9979194,0.000345968,0.001054054,extraversion,agreeableness,0
I am tired of sympathy,I am tired of sympathy.,0.95875293,0.001403135,0.033054963,0.00416078,0.002628434,agreeableness,agreeableness,1
I do not like to be complimented,I do not like to be complimented.,0.9938156,0.000510618,0.004556339,0.000622182,0.000495191,agreeableness,agreeableness,1
I become agitated when I hear of an unhappy event,I become agitated when I hear of an unhappy event.,0.00072078,0.000525681,0.000370125,0.9973261,0.001057458,neuroticism,agreeableness,0
I cooperate with others,I cooperate with others.,0.3504311,0.002394116,0.64287573,0.001874018,0.002425194,extraversion,agreeableness,0
