"doc_id","actual","R01","R02","R03","R04","R05","R06","R07","R08"
"Q1015","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","extraversion"
"Q1016","agreeableness","agreeableness","neuroticism","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q1022","agreeableness","conscientiousness","conscientiousness","conscientiousness","agreeableness","agreeableness","agreeableness","conscientiousness","agreeableness"
"Q1045","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion"
"Q1054","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion","extraversion"
"Q122","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q128","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q1696","openness","openness","openness","openness","openness","openness","conscientiousness","conscientiousness","openness"
"Q3161","neuroticism","neuroticism","neuroticism","neuroticism","agreeableness","neuroticism","neuroticism","neuroticism","neuroticism"
"Q3167","neuroticism","neuroticism","extraversion","neuroticism","neuroticism","neuroticism","openness","neuroticism","neuroticism"
"Q3206","agreeableness","neuroticism","extraversion","openness","agreeableness","extraversion","agreeableness","neuroticism","extraversion"
"Q3220","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion"
"Q3227","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q3236","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism"
"Q3243","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","conscientiousness","agreeableness","agreeableness"
"Q3250","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","agreeableness"
"Q3271","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3275","openness","openness","openness","conscientiousness","extraversion","openness","openness","openness","openness"
"Q3278","openness","agreeableness","extraversion","agreeableness","agreeableness","openness","conscientiousness","conscientiousness","conscientiousness"
"Q3291","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion"
"Q3292","conscientiousness","conscientiousness","neuroticism","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3301","agreeableness","openness","conscientiousness","extraversion","conscientiousness","neuroticism","openness","extraversion","openness"
"Q3304","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q3312","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3336","agreeableness","neuroticism","neuroticism","agreeableness","agreeableness","neuroticism","agreeableness","neuroticism","neuroticism"
"Q3339","extraversion","extraversion","extraversion","extraversion","extraversion","conscientiousness","neuroticism","extraversion","extraversion"
"Q3344","openness","openness","openness","openness","openness","openness","agreeableness","openness","openness"
"Q3358","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion"
"Q3360","neuroticism","neuroticism","extraversion","neuroticism","neuroticism","neuroticism","openness","extraversion","neuroticism"
"Q3371","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3377","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3379","neuroticism","conscientiousness","neuroticism","agreeableness","neuroticism","neuroticism","conscientiousness","agreeableness","agreeableness"
"Q3385","agreeableness","openness","conscientiousness","openness","extraversion","agreeableness","agreeableness","extraversion","openness"
"Q3396","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3405","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion"
"Q3416","neuroticism","neuroticism","conscientiousness","conscientiousness","neuroticism","openness","neuroticism","conscientiousness","neuroticism"
"Q3417","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion"
"Q3425","extraversion","conscientiousness","conscientiousness","conscientiousness","conscientiousness","openness","conscientiousness","openness","conscientiousness"
"Q3438","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","extraversion","neuroticism","neuroticism"
"Q3451","neuroticism","neuroticism","neuroticism","neuroticism","agreeableness","neuroticism","neuroticism","neuroticism","neuroticism"
"Q3452","conscientiousness","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion"
"Q3455","openness","openness","openness","openness","openness","openness","conscientiousness","openness","openness"
"Q3471","extraversion","openness","neuroticism","neuroticism","agreeableness","openness","openness","extraversion","openness"
"Q3481","openness","openness","openness","openness","openness","openness","conscientiousness","openness","openness"
"Q3486","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3489","conscientiousness","agreeableness","conscientiousness","conscientiousness","conscientiousness","openness","conscientiousness","conscientiousness","conscientiousness"
"Q3497","openness","agreeableness","neuroticism","agreeableness","openness","agreeableness","openness","agreeableness","openness"
"Q3514","conscientiousness","conscientiousness","neuroticism","neuroticism","neuroticism","conscientiousness","neuroticism","neuroticism","neuroticism"
"Q3521","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","neuroticism","conscientiousness"
"Q3527","openness","openness","conscientiousness","openness","openness","extraversion","openness","openness","openness"
"Q3528","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism"
"Q3530","agreeableness","extraversion","neuroticism","extraversion","extraversion","extraversion","agreeableness","extraversion","neuroticism"
"Q3531","neuroticism","conscientiousness","agreeableness","extraversion","neuroticism","conscientiousness","conscientiousness","neuroticism","agreeableness"
"Q3536","conscientiousness","agreeableness","conscientiousness","agreeableness","conscientiousness","agreeableness","conscientiousness","conscientiousness","conscientiousness"
"Q354","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q3548","extraversion","neuroticism","extraversion","extraversion","extraversion","conscientiousness","openness","conscientiousness","openness"
"Q3577","agreeableness","agreeableness","extraversion","openness","agreeableness","agreeableness","agreeableness","agreeableness","extraversion"
"Q3583","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3587","openness","openness","conscientiousness","openness","openness","extraversion","neuroticism","openness","openness"
"Q3626","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q3627","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q363","agreeableness","conscientiousness","neuroticism","neuroticism","agreeableness","agreeableness","conscientiousness","neuroticism","neuroticism"
"Q365","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
