".metric",".estimator",".estimate","analysis_label","classifier"
"accuracy","multiclass",0.25,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"kap","multiclass",0.101663585951941,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"sens","macro",0.25167701863354,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"spec","macro",0.850318008006804,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"ppv","macro",0.254274108900594,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"npv","macro",0.850424061535018,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"mcc","multiclass",0.102529993272631,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"j_index","macro",0.101995026640345,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"bal_accuracy","macro",0.550997513320172,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"detection_prevalence","macro",0.166666666666667,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"precision","macro",0.254274108900594,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"recall","macro",0.25167701863354,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"f_meas","macro",0.247910018717852,"aggregate-word-embedding1-svmLinear2","svmLinear2"
"accuracy","multiclass",0.201388888888889,"aggregate-word-embedding2-xgbTree","xgbTree"
"kap","multiclass",0.0393317090149669,"aggregate-word-embedding2-xgbTree","xgbTree"
"sens","macro",0.200041407867495,"aggregate-word-embedding2-xgbTree","xgbTree"
"spec","macro",0.839851777571877,"aggregate-word-embedding2-xgbTree","xgbTree"
"ppv","macro",0.20111273554256,"aggregate-word-embedding2-xgbTree","xgbTree"
"npv","macro",0.839912980039359,"aggregate-word-embedding2-xgbTree","xgbTree"
"mcc","multiclass",0.0394973496811613,"aggregate-word-embedding2-xgbTree","xgbTree"
"j_index","macro",0.0398931854393715,"aggregate-word-embedding2-xgbTree","xgbTree"
"bal_accuracy","macro",0.519946592719686,"aggregate-word-embedding2-xgbTree","xgbTree"
"detection_prevalence","macro",0.166666666666667,"aggregate-word-embedding2-xgbTree","xgbTree"
"precision","macro",0.20111273554256,"aggregate-word-embedding2-xgbTree","xgbTree"
"recall","macro",0.200041407867495,"aggregate-word-embedding2-xgbTree","xgbTree"
"f_meas","macro",0.198495032705559,"aggregate-word-embedding2-xgbTree","xgbTree"
"accuracy","multiclass",0.694444444444444,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"kap","multiclass",0.633630160749393,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"sens","macro",0.698109040717736,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"spec","macro",0.939016014925758,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"ppv","macro",0.702795414462081,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"npv","macro",0.939268916684441,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"mcc","multiclass",0.635726374002478,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"j_index","macro",0.637125055643494,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"bal_accuracy","macro",0.818562527821747,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"detection_prevalence","macro",0.166666666666667,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"precision","macro",0.702795414462081,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
"recall","macro",0.698109040717736,"sentence-SBERT-embedding1-svmLinear2","svmLinear2"
