source_id,guid,doc_id,scale,raw_text,text,lexical,structural,other,label_type,label,set,label_mapped_to_big5,facet
IPIP,irarelyfeeldepressed,Q1001,BFAS,Rarely feel depressed,I rarely feel depressed.,1,1,1,hard,neuroticism,train,neuroticism,anxiety
IPIP,ialwaysknowwhatiamdoing,Q1026,BFAS,Always know what I am doing,I always know what I am doing.,1,1,1,hard,conscientiousness,train,conscientiousness,industriousness/perseverance/persistence
IPIP,idonotputmymindonthetaskathand,Q1030,BFAS,Don't put my mind on the task at hand,I do not put my mind on the task at hand.,1,1,1,hard,conscientiousness,train,conscientiousness,conscientiousness
IPIP,ikeepthingstidy,Q1034,BFAS,Keep things tidy,I keep things tidy.,1,1,1,hard,conscientiousness,train,conscientiousness,orderliness
IPIP,ilaughalot,Q1047,BFAS,Laugh a lot,I laugh a lot.,1,1,1,hard,extraversion,train,extraversion,vitality/enthusiasm/zest
IPIP,irarelygetcaughtupintheexcitement,Q1051,BFAS,Rarely get caught up in the excitement,I rarely get caught up in the excitement.,1,1,1,hard,extraversion,train,extraversion,vitality/enthusiasm/zest
IPIP,iamnotaveryenthusiasticperson,Q1052,BFAS,Am not a very enthusiastic person,I am not a very enthusiastic person.,1,1,1,hard,extraversion,train,extraversion,vitality/enthusiasm/zest
IPIP,iseemyselfasagoodleader,Q1056,BFAS,See myself as a good leader,I see myself as a good leader.,1,1,1,hard,extraversion,train,extraversion,assertiveness
IPIP,icantalkothersintodoingthings,Q1057,BFAS,Can talk others into doing things,I can talk others into doing things.,1,1,1,hard,extraversion,train,extraversion,assertiveness
IPIP,idonothaveanassertivepersonality,Q1059,BFAS,Don't have an assertive personality,I do not have an assertive personality.,1,1,1,hard,extraversion,train,extraversion,assertiveness
IPIP,ilackthetalentforinfluencingpeople,Q1060,BFAS,Lack the talent for influencing people,I lack the talent for influencing people.,1,1,1,hard,extraversion,train,extraversion,assertiveness
IPIP,iformulateideasclearly,Q1068,BFAS,Formulate ideas clearly,I formulate ideas clearly.,1,1,1,hard,openness,train,openness,intellect
IPIP,ilearnthingsslowly,Q1072,BFAS,Learn things slowly,I learn things slowly.,1,1,1,hard,openness,train,openness,intellect
IPIP,igetdeeplyimmersedinmusic,Q1076,BFAS,Get deeply immersed in music,I get deeply immersed in music.,1,1,1,hard,openness,train,openness,aesthetic appreciation/artistic interests
IPIP,iseldomnoticetheemotionalaspectsofpaintingsandpictures,Q1082,BFAS,Seldom notice the emotional aspects of paintings and pictures,I seldom notice the emotional aspects of paintings and pictures.,1,1,1,hard,openness,train,openness,openness
IPIP,iamacreatureofhabit,Q1746,AB5C,Am a creature of habit,I am a creature of habit.,1,1,1,hard,openness,train,openness,cool-headedness
IPIP,idemandalotfromothers,Q1793,AB5C,Demand a lot from others,I demand a lot from others.,1,1,1,hard,agreeableness,train,agreeableness,sympathy
IPIP,igetalongwellwithothers,Q1796,IPIP-IPC,Get along well with others,I get along well with others.,1,1,1,hard,extraversion,train,extraversion,warmth
IPIP,iamthelifeoftheparty,Q1802,AB5C,Am the life of the party,I am the life of the party.,1,1,1,hard,extraversion,train,extraversion,gregariousness
IPIP,iamthefirsttoact,Q1840,AB5C,Am the first to act,I am the first to act.,1,1,1,hard,extraversion,train,extraversion,leadership
IPIP,ihavenosympathyforcriminals,Q217,AB5C,Have no sympathy for criminals,I have no sympathy for criminals.,1,1,1,hard,conscientiousness,train,conscientiousness,rationality
IPIP,ienjoyfeelingclosetotheearth,Q2201,HEXACO,"Enjoy feeling ""close to the earth""",I enjoy feeling close to the earth.,0,1,1,hard,openness,train,openness,aesthetic appreciation/artistic interests
IPIP,iliketostandduringthenationalanthem,Q238,NEO-PI-R,Like to stand during the national anthem,I like to stand during the national anthem.,0,1,1,hard,openness,train,openness,liberalism
IPIP,imakebeautifulthings,Q251,AB5C,Make beautiful things,I make beautiful things.,1,1,1,hard,openness,train,openness,reflection
IPIP,iwouldliketoliveforawhileinadifferentcountry,Q2779,6FPQ,Would like to live for a while in a different country,I would like to live for a while in a different country.,0,0,1,hard,openness,train,openness,adventurousness
IPIP,iseldomstretchthetruth,Q2792,IPIP-IPC,Seldom stretch the truth,I seldom stretch the truth.,1,1,1,hard,conscientiousness,train,conscientiousness,tolerance
IPIP,iautomaticallytakecharge,Q2878,AB5C,Automatically take charge,I automatically take charge.,1,1,1,hard,extraversion,train,extraversion,assertiveness
IPIP,ibelieveinalogicalanswerforeverything,Q2884,AB5C,Believe in a logical answer for everything,I believe in a logical answer for everything.,1,1,1,hard,conscientiousness,train,conscientiousness,rationality
IPIP,icannotcomeupwithnewideas,Q2900,AB5C,Can't come up with new ideas,I cannot come up with new ideas.,1,1,1,hard,openness,train,openness,ingenuity
IPIP,iletothersmakethedecisions,Q3040,AB5C,Let others make the decisions,I let others make the decisions.,1,1,1,hard,extraversion,train,extraversion,leadership
IPIP,itrytoleadothers,Q3136,AB5C,Try to lead others,I try to lead others.,1,1,1,hard,extraversion,train,extraversion,assertiveness
IPIP,iwaitforotherstoleadtheway,Q3143,AB5C,Wait for others to lead the way,I wait for others to lead the way.,1,1,1,hard,extraversion,train,extraversion,leadership
IPIP,iacceptpeopleastheyare,Q3153,AB5C,Accept people as they are,I accept people as they are.,1,1,1,hard,agreeableness,train,agreeableness,calmness
IPIP,iaccomplishmyworkontime,Q3154,AB5C,Accomplish my work on time,I accomplish my work on time.,1,1,1,hard,conscientiousness,train,conscientiousness,conscientiousness
IPIP,iactattheexpenseofothers,Q3155,AB5C,Act at the expense of others,I act at the expense of others.,1,1,1,hard,agreeableness,train,agreeableness,morality
IPIP,iactcomfortablywithothers,Q3156,AB5C,Act comfortably with others,I act comfortably with others.,1,1,1,hard,extraversion,train,extraversion,friendliness
IPIP,iadapteasilytonewsituations,Q3158,AB5C,Adapt easily to new situations,I adapt easily to new situations.,1,1,1,hard,neuroticism,train,neuroticism,happiness
IPIP,iamabletocontrolmycravings,Q3159,AB5C,Am able to control my cravings,I am able to control my cravings.,1,1,1,hard,neuroticism,train,neuroticism,moderation
IPIP,iamaveryprivateperson,Q3160,AB5C,Am a very private person,I am a very private person.,1,1,1,hard,extraversion,train,extraversion,friendliness
IPIP,iamabletofindoutthingsbymyself,Q3162,AB5C,Am able to find out things by myself,I am able to find out things by myself.,1,1,1,hard,openness,train,openness,quickness
IPIP,iamafraidtodrawattentiontomyself,Q3163,AB5C,Am afraid to draw attention to myself,I am afraid to draw attention to myself.,1,1,1,hard,extraversion,train,extraversion,leadership
IPIP,iamalwaysbusy,Q3164,AB5C,Am always busy,I am always busy.,1,1,1,hard,extraversion,train,extraversion,assertiveness
IPIP,iamcalmevenintensesituations,Q3165,AB5C,Am calm even in tense situations,I am calm even in tense situations.,1,1,1,hard,neuroticism,train,neuroticism,toughness
IPIP,iamalwaysprepared,Q3166,AB5C,Am always prepared,I am always prepared.,1,1,1,hard,conscientiousness,train,conscientiousness,purposefulness
IPIP,iamnoteasilyaffectedbymyemotions,Q3168,AB5C,Am not easily affected by my emotions,I am not easily affected by my emotions.,1,1,1,hard,openness,train,openness,imperturbability
IPIP,iamcarefultoavoidmakingmistakes,Q3169,AB5C,Am careful to avoid making mistakes,I am careful to avoid making mistakes.,1,1,1,hard,conscientiousness,train,conscientiousness,conscientiousness
IPIP,iamcomfortableinunfamiliarsituations,Q3170,AB5C,Am comfortable in unfamiliar situations,I am comfortable in unfamiliar situations.,1,1,1,hard,neuroticism,train,neuroticism,poise
IPIP,iamdeeplymovedbyothersmisfortunes,Q3172,AB5C,Am deeply moved by others' misfortunes,I am deeply moved by others misfortunes.,1,1,1,hard,agreeableness,train,agreeableness,sympathy
IPIP,iameasilydistracted,Q3174,AB5C,Am easily distracted,I am easily distracted.,1,1,1,hard,conscientiousness,train,conscientiousness,purposefulness
IPIP,iamnoteasilyfrustrated,Q3176,AB5C,Am not easily frustrated,I am not easily frustrated.,1,1,1,hard,neuroticism,train,neuroticism,stability
IPIP,iamnoteasilystirred,Q3177,AB5C,Am not easily stirred,I am not easily stirred.,1,1,1,hard,neuroticism,train,neuroticism,tranquility
IPIP,iamsureofmyground,Q3179,AB5C,Am sure of my ground,I am sure of my ground.,1,1,1,hard,conscientiousness,train,conscientiousness,happiness
IPIP,icanstandcriticism,Q3180,AB5C,Can stand criticism,I can stand criticism.,1,1,1,hard,neuroticism,train,neuroticism,toughness
IPIP,iameasilytalkedintodoingsillythings,Q3181,AB5C,Am easily talked into doing silly things,I am easily talked into doing silly things.,1,1,1,hard,agreeableness,train,agreeableness,cautiousness
IPIP,iameasytosatisfy,Q3182,AB5C,Am easy to satisfy,I am easy to satisfy.,1,1,1,hard,agreeableness,train,agreeableness,pleasantness
IPIP,iamexactinginmywork,Q3183,AB5C,Am exacting in my work,I am exacting in my work.,1,1,1,hard,conscientiousness,train,conscientiousness,efficiency
IPIP,idonotlosemyhead,Q3184,AB5C,Don't lose my head,I do not lose my head.,1,1,1,hard,neuroticism,train,neuroticism,toughness
IPIP,iamgoodatmanythings,Q3186,AB5C,Am good at many things,I am good at many things.,1,1,1,hard,conscientiousness,train,conscientiousness,ingenuity
IPIP,ieasilyresisttemptations,Q3187,AB5C,Easily resist temptations,I easily resist temptations.,1,1,1,hard,neuroticism,train,neuroticism,moderation
IPIP,iamhardtogettoknow,Q3188,AB5C,Am hard to get to know,I am hard to get to know.,1,1,1,hard,extraversion,train,extraversion,friendliness
IPIP,iamindifferenttothefeelingsofothers,Q3190,AB5C,Am indifferent to the feelings of others,I am indifferent to the feelings of others.,1,1,1,hard,agreeableness,train,agreeableness,understanding
IPIP,iaminterestedinpeople,Q3191,AB5C,Am interested in people,I am interested in people.,1,1,1,hard,agreeableness,train,agreeableness,warmth
IPIP,iamnotafraidofprovidingcriticism,Q3193,AB5C,Am not afraid of providing criticism,I am not afraid of providing criticism.,1,1,1,hard,extraversion,train,extraversion,provocativeness
IPIP,iamnotasstrictasishouldbe,Q3194,AB5C,Am not as strict as I should be,I am not as strict as I should be.,1,1,1,hard,conscientiousness,train,conscientiousness,rationality
IPIP,iamnotbotheredbydisorder,Q3195,AB5C,Am not bothered by disorder,I am not bothered by disorder.,1,1,1,hard,conscientiousness,train,conscientiousness,perfectionism
IPIP,iamnotbotheredbymessypeople,Q3196,AB5C,Am not bothered by messy people,I am not bothered by messy people.,1,1,1,hard,conscientiousness,train,conscientiousness,perfectionism
IPIP,ikeepmycool,Q3199,AB5C,Keep my cool,I keep my cool.,1,1,1,hard,neuroticism,train,neuroticism,stability
IPIP,ikeepmyemotionsundercontrol,Q3200,AB5C,Keep my emotions under control,I keep my emotions under control.,1,1,1,hard,neuroticism,train,neuroticism,impulse-control
IPIP,iamnoteasilydistracted,Q3201,AB5C,Am not easily distracted,I am not easily distracted.,1,1,1,hard,conscientiousness,train,conscientiousness,purposefulness
IPIP,iknowhowtocope,Q3202,AB5C,Know how to cope,I know how to cope.,1,1,1,hard,neuroticism,train,neuroticism,toughness
IPIP,iletothersfinishwhattheyaresaying,Q3203,AB5C,Let others finish what they are saying,I let others finish what they are saying.,1,1,1,hard,neuroticism,train,neuroticism,impulse-control
IPIP,iamnotembarrassedeasily,Q3204,AB5C,Am not embarrassed easily,I am not embarrassed easily.,1,1,1,hard,neuroticism,train,neuroticism,poise
IPIP,iamnotinterestedinspeculatingaboutthings,Q3209,AB5C,Am not interested in speculating about things,I am not interested in speculating about things.,1,1,1,hard,openness,train,openness,creativity/originality
IPIP,iamnotinterestedintheoreticaldiscussions,Q3210,AB5C,Am not interested in theoretical discussions,I am not interested in theoretical discussions.,1,1,1,hard,openness,train,openness,creativity/originality
IPIP,iamnotreallyinterestedinothers,Q3211,AB5C,Am not really interested in others,I am not really interested in others.,1,1,1,hard,agreeableness,train,agreeableness,warmth
IPIP,ilookatthebrightsideoflife,Q3212,AB5C,Look at the bright side of life,I look at the bright side of life.,1,1,1,hard,extraversion,train,extraversion,happiness
IPIP,iamoftenlatetowork,Q3214,AB5C,Am often late to work,I am often late to work.,1,1,1,hard,conscientiousness,train,conscientiousness,conscientiousness
IPIP,iamongoodtermswithnearlyeveryone,Q3215,AB5C,Am on good terms with nearly everyone,I am on good terms with nearly everyone.,1,1,1,hard,agreeableness,train,agreeableness,pleasantness
IPIP,iamopenaboutmyselftoothers,Q3217,AB5C,Am open about myself to others,I am open about myself to others.,1,1,1,hard,extraversion,train,extraversion,self-disclosure
IPIP,iamquicktojudgeothers,Q3218,AB5C,Am quick to judge others,I am quick to judge others.,1,1,1,hard,agreeableness,train,agreeableness,pleasantness
IPIP,irarelynoticemyemotionalreactions,Q3221,AB5C,Rarely notice my emotional reactions,I rarely notice my emotional reactions.,1,1,1,hard,openness,train,openness,tranquility
IPIP,irarelyoverindulge,Q3222,AB5C,Rarely overindulge,I rarely overindulge.,1,1,1,hard,neuroticism,train,neuroticism,moderation
IPIP,iremaincalmunderpressure,Q3223,AB5C,Remain calm under pressure,I remain calm under pressure.,1,1,1,hard,neuroticism,train,neuroticism,moderation
IPIP,iamusemyselfeasily,Q3226,AB5C,Amuse myself easily,I amuse myself easily.,1,1,1,hard,extraversion,train,extraversion,sociability
IPIP,iappreciategoodmanners,Q3228,AB5C,Appreciate good manners,I appreciate good manners.,1,1,1,hard,conscientiousness,train,conscientiousness,dutifulness
IPIP,iappreciatetheviewpointsofothers,Q3229,AB5C,Appreciate the viewpoints of others,I appreciate the viewpoints of others.,1,1,1,hard,agreeableness,train,agreeableness,understanding
IPIP,iaskquestionsthatnobodyelsedoes,Q3230,AB5C,Ask questions that nobody else does,I ask questions that nobody else does.,1,1,1,hard,openness,train,openness,creativity/originality
IPIP,iavoidcontactswithothers,Q3232,AB5C,Avoid contacts with others,I avoid contacts with others.,1,1,1,hard,extraversion,train,extraversion,friendliness
IPIP,iavoidphilosophicaldiscussions,Q3234,AB5C,Avoid philosophical discussions,I avoid philosophical discussions.,1,1,1,hard,openness,train,openness,creativity/originality
IPIP,ibehaveproperly,Q3237,AB5C,Behave properly,I behave properly.,1,1,1,hard,conscientiousness,train,conscientiousness,dutifulness
IPIP,ibelievecryinghelpsmefeelbetter,Q3238,AB5C,Believe that crying helps me feel better,I believe crying helps me feel better.,1,1,1,hard,agreeableness,train,agreeableness,tenderness
IPIP,ibelieveinaneyeforaneye,Q3240,AB5C,Believe in an eye for an eye,I believe in an eye for an eye.,1,1,1,hard,agreeableness,train,agreeableness,rationality
IPIP,ibelieveintheimportanceofart,Q3241,AB5C,Believe in the importance of art,I believe in the importance of art.,1,1,1,hard,openness,train,openness,imagination
