"doc_id","actual","R01","R02","R03","R04","R05","R06","R07","R08","human_sub_agreement","human_sub_validity","human_overall_accuracy","albert","bert","roberta","xlnet","deberta","model_sub_agreement","model_sub_validity","model_overall_accuracy","confidence"
"Q1015","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","extraversion",0.875,0.75,0.875,"agreeableness","agreeableness","agreeableness","agreeableness","agreeableness",1,1,1,0.99885005
"Q1016","agreeableness","agreeableness","neuroticism","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness",0.875,0.75,0.875,"conscientiousness","agreeableness","agreeableness","agreeableness","agreeableness",0.8,0.6,0.8,0.9988949
"Q1022","agreeableness","conscientiousness","conscientiousness","conscientiousness","agreeableness","agreeableness","agreeableness","conscientiousness","agreeableness",0.5,0.375,0.5,"extraversion","agreeableness","agreeableness","agreeableness","agreeableness",0.8,0.6,0.8,0.9978399
"Q1045","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion",0.875,0.75,0.875,"agreeableness","agreeableness","agreeableness","agreeableness","agreeableness",0,-0.2,0,0.000631873
"Q1054","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion","extraversion",0.875,0.75,0.875,"extraversion","extraversion","extraversion","extraversion","extraversion",1,1,1,0.9991458
"Q122","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness",1,1,1,"agreeableness","agreeableness","agreeableness","agreeableness","agreeableness",1,1,1,0.9980083
"Q128","openness","openness","openness","openness","openness","openness","openness","openness","openness",1,1,1,"conscientiousness","agreeableness","agreeableness","openness","openness",0.4,0.2,0.4,0.99540013
"Q1696","openness","openness","openness","openness","openness","openness","conscientiousness","conscientiousness","openness",0.75,0.625,0.75,"extraversion","openness","openness","openness","openness",0.8,0.6,0.8,0.9972182
"Q3161","neuroticism","neuroticism","neuroticism","neuroticism","agreeableness","neuroticism","neuroticism","neuroticism","neuroticism",0.875,0.75,0.875,"neuroticism","extraversion","neuroticism","neuroticism","neuroticism",0.8,0.6,0.8,0.99732333
"Q3167","neuroticism","neuroticism","extraversion","neuroticism","neuroticism","neuroticism","openness","neuroticism","neuroticism",0.75,0.625,0.75,"neuroticism","neuroticism","neuroticism","neuroticism","neuroticism",1,1,1,0.98963714
"Q3206","agreeableness","neuroticism","extraversion","openness","agreeableness","extraversion","agreeableness","neuroticism","extraversion",0.25,0.125,0.25,"neuroticism","openness","openness","openness","openness",0,-0.2,0,0.002096188
"Q3220","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion",1,1,1,"extraversion","extraversion","extraversion","extraversion","extraversion",1,1,1,0.99910927
"Q3227","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness",1,1,1,"agreeableness","agreeableness","agreeableness","agreeableness","agreeableness",1,1,1,0.9989425
"Q3236","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism",1,1,1,"neuroticism","neuroticism","openness","neuroticism","neuroticism",0.8,0.6,0.8,0.99680173
"Q3243","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","conscientiousness","agreeableness","agreeableness",0.875,0.75,0.875,"agreeableness","agreeableness","agreeableness","extraversion","agreeableness",0.8,0.6,0.8,0.93768865
"Q3250","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","agreeableness",0.875,0.75,0.875,"neuroticism","neuroticism","neuroticism","neuroticism","neuroticism",1,1,1,0.98181105
"Q3271","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,"conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,0.9990911
"Q3275","openness","openness","openness","conscientiousness","extraversion","openness","openness","openness","openness",0.75,0.625,0.75,"neuroticism","conscientiousness","extraversion","extraversion","openness",0.2,0,0.2,0.99817675
"Q3278","openness","agreeableness","extraversion","agreeableness","agreeableness","openness","conscientiousness","conscientiousness","conscientiousness",0.125,0,0.125,"openness","openness","openness","openness","openness",1,1,1,0.9982201
"Q3291","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion",0.875,0.75,0.875,"openness","extraversion","extraversion","extraversion","extraversion",0.8,0.6,0.8,0.9979375
"Q3292","conscientiousness","conscientiousness","neuroticism","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",0.875,0.75,0.875,"conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,0.99907863
"Q3301","agreeableness","openness","conscientiousness","extraversion","conscientiousness","neuroticism","openness","extraversion","openness",0,-0.125,0,"extraversion","conscientiousness","conscientiousness","conscientiousness","conscientiousness",0,-0.2,0,0.000203644
"Q3304","openness","openness","openness","openness","openness","openness","openness","openness","openness",1,1,1,"openness","openness","openness","openness","openness",1,1,1,0.9991778
"Q3312","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,"conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,0.99912494
"Q3336","agreeableness","neuroticism","neuroticism","agreeableness","agreeableness","neuroticism","agreeableness","neuroticism","neuroticism",0.375,0.25,0.375,"agreeableness","agreeableness","agreeableness","neuroticism","openness",0.6,0.4,0.6,0.00606696
"Q3339","extraversion","extraversion","extraversion","extraversion","extraversion","conscientiousness","neuroticism","extraversion","extraversion",0.75,0.625,0.75,"extraversion","extraversion","extraversion","extraversion","extraversion",1,1,1,0.99859667
"Q3344","openness","openness","openness","openness","openness","openness","agreeableness","openness","openness",0.875,0.75,0.875,"openness","openness","openness","openness","openness",1,1,1,0.99850196
"Q3358","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion",0.875,0.75,0.875,"extraversion","extraversion","extraversion","extraversion","extraversion",1,1,1,0.9989839
"Q3360","neuroticism","neuroticism","extraversion","neuroticism","neuroticism","neuroticism","openness","extraversion","neuroticism",0.625,0.5,0.625,"neuroticism","neuroticism","neuroticism","neuroticism","neuroticism",1,1,1,0.99755013
"Q3371","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,"conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,0.99909633
"Q3377","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,"conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,0.99907297
"Q3379","neuroticism","conscientiousness","neuroticism","agreeableness","neuroticism","neuroticism","conscientiousness","agreeableness","agreeableness",0.375,0.25,0.375,"conscientiousness","agreeableness","agreeableness","neuroticism","agreeableness",0.2,0,0.2,0.038711675
"Q3385","agreeableness","openness","conscientiousness","openness","extraversion","agreeableness","agreeableness","extraversion","openness",0.25,0.125,0.25,"extraversion","conscientiousness","extraversion","extraversion","extraversion",0,-0.2,0,0.001209171
"Q3396","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",1,1,1,"openness","conscientiousness","openness","conscientiousness","conscientiousness",0.6,0.4,0.6,0.99706465
"Q3405","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion",1,1,1,"extraversion","extraversion","extraversion","extraversion","extraversion",1,1,1,0.99875194
"Q3416","neuroticism","neuroticism","conscientiousness","conscientiousness","neuroticism","openness","neuroticism","conscientiousness","neuroticism",0.5,0.375,0.5,"extraversion","conscientiousness","neuroticism","neuroticism","neuroticism",0.6,0.4,0.6,0.7290055
"Q3417","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion",0.875,0.75,0.875,"extraversion","extraversion","extraversion","openness","extraversion",0.8,0.6,0.8,0.9987447
"Q3425","extraversion","conscientiousness","conscientiousness","conscientiousness","conscientiousness","openness","conscientiousness","openness","conscientiousness",0,-0.125,0,"conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness",0,-0.2,0,0.000397802
"Q3438","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","extraversion","neuroticism","neuroticism",0.875,0.75,0.875,"neuroticism","neuroticism","neuroticism","neuroticism","neuroticism",1,1,1,0.99682826
"Q3451","neuroticism","neuroticism","neuroticism","neuroticism","agreeableness","neuroticism","neuroticism","neuroticism","neuroticism",0.875,0.75,0.875,"neuroticism","neuroticism","neuroticism","neuroticism","neuroticism",1,1,1,0.995984
"Q3452","conscientiousness","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion",0,-0.125,0,"extraversion","extraversion","extraversion","extraversion","extraversion",0,-0.2,0,0.000129143
"Q3455","openness","openness","openness","openness","openness","openness","conscientiousness","openness","openness",0.875,0.75,0.875,"openness","openness","openness","openness","openness",1,1,1,0.99918354
