"guid","source_id","doc_id","scale","raw_text","text","lexical","structural","other","label_type","label","set","other_label_to_big5","facet"
"irarelyfeeldepressed","IPIP","Q1001","BFAS","Rarely feel depressed","I rarely feel depressed.",1,1,1,"hard","neuroticism","train","neuroticism","anxiety"
"iavoidimposingmywillonothers","IPIP","Q1015","BFAS","Avoid imposing my will on others","I avoid imposing my will on others.",1,1,1,"hard","agreeableness","test","agreeableness","agreeableness"
"irarelyputpeopleunderpressure","IPIP","Q1016","BFAS","Rarely put people under pressure","I rarely put people under pressure.",1,1,1,"hard","agreeableness","test","agreeableness","positive expressivity"
"iamoutformyownpersonalgain","IPIP","Q1022","BFAS","Am out for my own personal gain","I am out for my own personal gain.",1,1,1,"hard","agreeableness","test","agreeableness","positive expressivity"
"ialwaysknowwhatiamdoing","IPIP","Q1026","BFAS","Always know what I am doing","I always know what I am doing.",1,1,1,"hard","conscientiousness","train","conscientiousness","industriousness/perseverance/persistence"
"idonotputmymindonthetaskathand","IPIP","Q1030","BFAS","Don't put my mind on the task at hand","I do not put my mind on the task at hand.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"ikeepthingstidy","IPIP","Q1034","BFAS","Keep things tidy","I keep things tidy.",1,1,1,"hard","conscientiousness","train","conscientiousness","orderliness"
"ishowmyfeelingswheniamhappy","IPIP","Q1045","BFAS","Show my feelings when I'm happy","I show my feelings when I am happy.",1,1,1,"hard","extraversion","test","extraversion","vitality/enthusiasm/zest"
"ilaughalot","IPIP","Q1047","BFAS","Laugh a lot","I laugh a lot.",1,1,1,"hard","extraversion","train","extraversion","vitality/enthusiasm/zest"
"irarelygetcaughtupintheexcitement","IPIP","Q1051","BFAS","Rarely get caught up in the excitement","I rarely get caught up in the excitement.",1,1,1,"hard","extraversion","train","extraversion","vitality/enthusiasm/zest"
"iamnotaveryenthusiasticperson","IPIP","Q1052","BFAS","Am not a very enthusiastic person","I am not a very enthusiastic person.",1,1,1,"hard","extraversion","train","extraversion","vitality/enthusiasm/zest"
"ihaveastrongpersonality","IPIP","Q1054","BFAS","Have a strong personality","I have a strong personality.",1,1,1,"hard","extraversion","test","extraversion","assertiveness"
"iseemyselfasagoodleader","IPIP","Q1056","BFAS","See myself as a good leader","I see myself as a good leader.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"icantalkothersintodoingthings","IPIP","Q1057","BFAS","Can talk others into doing things","I can talk others into doing things.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"idonothaveanassertivepersonality","IPIP","Q1059","BFAS","Don't have an assertive personality","I do not have an assertive personality.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"ilackthetalentforinfluencingpeople","IPIP","Q1060","BFAS","Lack the talent for influencing people","I lack the talent for influencing people.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"iformulateideasclearly","IPIP","Q1068","BFAS","Formulate ideas clearly","I formulate ideas clearly.",1,1,1,"hard","openness","train","openness","intellect"
"ilearnthingsslowly","IPIP","Q1072","BFAS","Learn things slowly","I learn things slowly.",1,1,1,"hard","openness","train","openness","intellect"
"igetdeeplyimmersedinmusic","IPIP","Q1076","BFAS","Get deeply immersed in music","I get deeply immersed in music.",1,1,1,"hard","openness","train","openness","aesthetic appreciation/artistic interests"
"iseldomnoticetheemotionalaspectsofpaintingsandpictures","IPIP","Q1082","BFAS","Seldom notice the emotional aspects of paintings and pictures","I seldom notice the emotional aspects of paintings and pictures.",1,1,1,"hard","openness","train","openness","openness"
"ibelieveinhumangoodness","IPIP","Q122","NEO-PI-R","Believe in human goodness","I believe in human goodness.",0,1,1,"hard","agreeableness","test","agreeableness","trust"
"ibelievethatthereisnoabsoluterightandwrong","IPIP","Q128","NEO-PI-R","Believe that there is no absolute right and wrong","I believe that there is no absolute right and wrong.",0,1,1,"hard","openness","test","openness","o6:li"
"iknowtheanswerstomanyquestions","IPIP","Q1696","AB5C","Know the answers to many questions","I know the answers to many questions.",1,1,1,"hard","openness","test","openness","creativity/originality"
"iamacreatureofhabit","IPIP","Q1746","AB5C","Am a creature of habit","I am a creature of habit.",1,1,1,"hard","openness","train","openness","cool-headedness"
"idemandalotfromothers","IPIP","Q1793","AB5C","Demand a lot from others","I demand a lot from others.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"igetalongwellwithothers","IPIP","Q1796","IPIP-IPC","Get along well with others","I get along well with others.",1,1,1,"hard","extraversion","train","extraversion","warmth"
"iamthelifeoftheparty","IPIP","Q1802","AB5C","Am the life of the party","I am the life of the party.",1,1,1,"hard","extraversion","train","extraversion","gregariousness"
"iamthefirsttoact","IPIP","Q1840","AB5C","Am the first to act","I am the first to act.",1,1,1,"hard","extraversion","train","extraversion","leadership"
"ihavenosympathyforcriminals","IPIP","Q217","AB5C","Have no sympathy for criminals","I have no sympathy for criminals.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"ienjoyfeelingclosetotheearth","IPIP","Q2201","HEXACO","Enjoy feeling ""close to the earth""","I enjoy feeling close to the earth.",0,1,1,"hard","openness","train","openness","aesthetic appreciation/artistic interests"
"iliketostandduringthenationalanthem","IPIP","Q238","NEO-PI-R","Like to stand during the national anthem","I like to stand during the national anthem.",0,1,1,"hard","openness","train","openness","liberalism"
"imakebeautifulthings","IPIP","Q251","AB5C","Make beautiful things","I make beautiful things.",1,1,1,"hard","openness","train","openness","reflection"
"iwouldliketoliveforawhileinadifferentcountry","IPIP","Q2779","6FPQ","Would like to live for a while in a different country","I would like to live for a while in a different country.",0,0,1,"hard","openness","train","openness","adventurousness"
"iseldomstretchthetruth","IPIP","Q2792","IPIP-IPC","Seldom stretch the truth","I seldom stretch the truth.",1,1,1,"hard","conscientiousness","train","conscientiousness","tolerance"
"iautomaticallytakecharge","IPIP","Q2878","AB5C","Automatically take charge","I automatically take charge.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"ibelieveinalogicalanswerforeverything","IPIP","Q2884","AB5C","Believe in a logical answer for everything","I believe in a logical answer for everything.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"icannotcomeupwithnewideas","IPIP","Q2900","AB5C","Can't come up with new ideas","I cannot come up with new ideas.",1,1,1,"hard","openness","train","openness","ingenuity"
"iletothersmakethedecisions","IPIP","Q3040","AB5C","Let others make the decisions","I let others make the decisions.",1,1,1,"hard","extraversion","train","extraversion","leadership"
"itrytoleadothers","IPIP","Q3136","AB5C","Try to lead others","I try to lead others.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"iwaitforotherstoleadtheway","IPIP","Q3143","AB5C","Wait for others to lead the way","I wait for others to lead the way.",1,1,1,"hard","extraversion","train","extraversion","leadership"
"iacceptpeopleastheyare","IPIP","Q3153","AB5C","Accept people as they are","I accept people as they are.",1,1,1,"hard","agreeableness","train","agreeableness","calmness"
"iaccomplishmyworkontime","IPIP","Q3154","AB5C","Accomplish my work on time","I accomplish my work on time.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"iactattheexpenseofothers","IPIP","Q3155","AB5C","Act at the expense of others","I act at the expense of others.",1,1,1,"hard","agreeableness","train","agreeableness","morality"
"iactcomfortablywithothers","IPIP","Q3156","AB5C","Act comfortably with others","I act comfortably with others.",1,1,1,"hard","extraversion","train","extraversion","friendliness"
"iadapteasilytonewsituations","IPIP","Q3158","AB5C","Adapt easily to new situations","I adapt easily to new situations.",1,1,1,"hard","neuroticism","train","neuroticism","happiness"
"iamabletocontrolmycravings","IPIP","Q3159","AB5C","Am able to control my cravings","I am able to control my cravings.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"iamaveryprivateperson","IPIP","Q3160","AB5C","Am a very private person","I am a very private person.",1,1,1,"hard","extraversion","train","extraversion","friendliness"
"iamalwaysinthesamemood","IPIP","Q3161","AB5C","Am always in the same mood","I am always in the same mood.",1,1,1,"hard","neuroticism","test","neuroticism","tranquility"
"iamabletofindoutthingsbymyself","IPIP","Q3162","AB5C","Am able to find out things by myself","I am able to find out things by myself.",1,1,1,"hard","openness","train","openness","quickness"
"iamafraidtodrawattentiontomyself","IPIP","Q3163","AB5C","Am afraid to draw attention to myself","I am afraid to draw attention to myself.",1,1,1,"hard","extraversion","train","extraversion","leadership"
"iamalwaysbusy","IPIP","Q3164","AB5C","Am always busy","I am always busy.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"iamcalmevenintensesituations","IPIP","Q3165","AB5C","Am calm even in tense situations","I am calm even in tense situations.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"iamalwaysprepared","IPIP","Q3166","AB5C","Am always prepared","I am always prepared.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"iamnotdisturbedbyevents","IPIP","Q3167","AB5C","Am not disturbed by events","I am not disturbed by events.",1,1,1,"hard","neuroticism","test","neuroticism","tranquility"
"iamnoteasilyaffectedbymyemotions","IPIP","Q3168","AB5C","Am not easily affected by my emotions","I am not easily affected by my emotions.",1,1,1,"hard","openness","train","openness","imperturbability"
"iamcarefultoavoidmakingmistakes","IPIP","Q3169","AB5C","Am careful to avoid making mistakes","I am careful to avoid making mistakes.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"iamcomfortableinunfamiliarsituations","IPIP","Q3170","AB5C","Am comfortable in unfamiliar situations","I am comfortable in unfamiliar situations.",1,1,1,"hard","neuroticism","train","neuroticism","poise"
"iamdeeplymovedbyothersmisfortunes","IPIP","Q3172","AB5C","Am deeply moved by others' misfortunes","I am deeply moved by others misfortunes.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"iameasilydistracted","IPIP","Q3174","AB5C","Am easily distracted","I am easily distracted.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"iamnoteasilyfrustrated","IPIP","Q3176","AB5C","Am not easily frustrated","I am not easily frustrated.",1,1,1,"hard","neuroticism","train","neuroticism","stability"
"iamnoteasilystirred","IPIP","Q3177","AB5C","Am not easily stirred","I am not easily stirred.",1,1,1,"hard","neuroticism","train","neuroticism","tranquility"
"iamsureofmyground","IPIP","Q3179","AB5C","Am sure of my ground","I am sure of my ground.",1,1,1,"hard","conscientiousness","train","conscientiousness","happiness"
"icanstandcriticism","IPIP","Q3180","AB5C","Can stand criticism","I can stand criticism.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
