guid,source_id,doc_id,scale,raw_text,text,text_lemmatized,lexical,structural,other,label,big_5_mapped_label
actsbeforethinking,IPIP,Q5979,SPI,Acts before thinking.,acts before thinking,act before think,0,0,0,big5_item,conscientiousness
ibeingindebtisworrisometome,IPIP,Q1108,EPQ,Being in debt is worrisome to me.,being in debt is worrisome to me,be in debt be worrisome to me,0,0,1,other_item,conscientiousness
believesintheimportanceofart,IPIP,Q5977,SPI,Believes in the importance of art.,believes in the importance of art,believe in the importance of art,0,0,0,big5_item,openness
believespeoplehavebadintentions,IPIP,Q5983,SPI,Believes people have bad intentions.,believes people have bad intentions,believe people have bad intention,0,0,0,big5_item,agreeableness
cannothandlealotofinformation,IPIP,Q5984,SPI,Cannot handle a lot of information.,cannot handle a lot of information,cannot handle a lot of information,0,0,0,big5_item,openness
controlsdesires,IPIP,Q5986,SPI,Controls desires.,controls desires,control desire,0,1,0,big5_item,conscientiousness
disregardsrulestogetahead,IPIP,Q5989,SPI,Disregards rules to get ahead.,disregards rules to get ahead,disregard rule to get ahead,0,0,0,big5_item,conscientiousness
doesnothaveoriginalideasisnotinventive,IPIP,Q5990,SPI,Does not have original ideas is not inventive.,does not have original ideas is not inventive,does not have original idea be not inventive,0,0,0,big5_item,openness
doesnotjokearound,IPIP,Q5991,SPI,Does not joke around.,does not joke around,does not joke around,0,0,0,big5_item,extraversion
doesnotstoptocontemplatehisorherlife,IPIP,Q5992,SPI,Does not stop to contemplate his or her life.,does not stop to contemplate his or her life,does not stop to contemplate his or her life,0,0,0,big5_item,openness
enjoysbeingwithpeople,IPIP,Q5996,SPI,Enjoys being with people.,enjoys being with people,enjoy be with people,0,0,0,big5_item,extraversion
getsirritatedeasily,IPIP,Q6002,SPI,Gets irritated easily.,gets irritated easily,get irritated eassily,0,0,0,big5_item,neuroticism
igoodmannersandcleanlinessmattertome,IPIP,Q1135,EPQ,Good manners and cleanliness matter to me.,good manners and cleanliness matter to me,good manner and cleanliness matter to me,0,0,1,other_item,conscientiousness
igoodmannersareveryimportant,IPIP,Q1119,EPQ,Good manners are very important.,good manners are very important,good manner be very important,0,0,1,other_item,conscientiousness
hangsarounddoingnothing,IPIP,Q6005,SPI,Hangs around doing nothing.,hangs around doing nothing,hangs around doing nothing,0,0,0,big5_item,conscientiousness
hasfrequentmoodchanges,IPIP,Q6006,SPI,Has frequent mood changes.,has frequent mood changes,has frequent mood change,0,0,0,big5_item,neuroticism
iabusepeopleconfidences,IPIP,Q1666,PPRF,I abuse people confidences.,i abuse people confidences,i abuse people confidence,0,0,0,other_item,conscientiousness
iacceptapologieseasily,IPIP,Q3698,HPI,I accept apologies easily.,i accept apologies easily,i accept apology easily,0,0,1,big5_item,agreeableness
iacceptchallengingtasks,IPIP,Q3699,HPI,I accept challenging tasks.,i accept challenging tasks,i accept challenge task,0,0,1,big5_item,conscientiousness
iacceptlittlefromothers,IPIP,Q1860,IPIP,I accept little from others.,i accept little from others,i accept little from other,0,0,0,other_item,agreeableness
iacceptothersweaknesses,IPIP,Q67,TCI,I accept others weaknesses.,i accept others weaknesses,i accept other weakness,0,0,1,other_item,agreeableness
iacceptpeopleastheyare,IPIP,Q3153,AB5C,I accept people as they are.,i accept people as they are,i accept people as they be,1,1,1,big5_item,agreeableness
iaccepttheconsequencesofmyactions,IPIP,Q1788,IPIP,I accept the consequences of my actions.,i accept the consequences of my actions,i accept the consequence of my action,0,0,0,other_item,neuroticism
iacceptthefirstthingthatcomesalong,IPIP,Q1726,IPIP,I accept the first thing that comes along.,i accept the first thing that comes along,i accept the first thing that come along,0,0,0,other_item,conscientiousness
iacceptwhatotherssay,IPIP,Q1920,IPIP,I accept what others say.,i accept what others say,i accept what other say,0,0,0,other_item,agreeableness
iaccomplishalotofwork,IPIP,Q4164,6FPQ,I accomplish a lot of work.,i accomplish a lot of work,i accomplish a lot of work,0,0,1,big5_item,conscientiousness
iaccomplishmyworkontime,IPIP,Q3154,AB5C,I accomplish my work on time.,i accomplish my work on time,i accomplish my work on time,1,1,1,big5_item,conscientiousness
iacknowledgeothersaccomplishments,IPIP,Q2821,CPI,I acknowledge others accomplishments.,i acknowledge others accomplishments,i acknowledge other accomplishment,0,0,1,other_item,agreeableness
iacquireskillsquickly,IPIP,Q1712,IPIP,I acquire skills quickly.,i acquire skills quickly,i acquire skill quickly,0,0,0,other_item,openness
iactaccordingtomyconscience,IPIP,Q2822,CPI,I act according to my conscience.,i act according to my conscience,i act accord to my conscience,0,0,1,other_item,conscientiousness
iactaccordingtomyownfeelings,IPIP,Q1721,IPIP,I act according to my own feelings.,i act according to my own feelings,i act accord to my own feeling,0,0,0,other_item,openness
iactasaleader,IPIP,Q2193,IPIP,I act as a leader.,i act as a leader,i act as a leader,0,0,0,other_item,extraversion
iactasiplease,IPIP,Q1890,IPIP,I act as I please.,i act as i please,i act as i please,0,0,0,other_item,agreeableness
iactasifiamconstantlyonstage,IPIP,Q5824,CAT-PD,I act as if I am constantly on stage.,i act as if i am constantly on stage,i act as if i be constantly on stage,0,0,0,other_item,extraversion
iactasifiamsomebodyelseandcompletelyidentifymyselfwiththepart,IPIP,Q1332,IPIP,I act as if I am somebody else and completely identify myself with the part.,i act as if i am somebody else and completely identify myself with the part,i act as if i be somebody else and completely identify myself with the part,0,0,0,other_item,openness
